m-h;m;m+h
17.81214113;17.96910339;18.12606565
17.9047269;18.06542811;18.22612932
17.75492624;17.91313662;18.07134701
17.83814661;17.99636217;18.15457772
18.18193395;18.35393939;18.52594484
1.246227039;1.290306947;1.334386854
1.197166335;1.242124394;1.287082454
1.324303789;1.371463217;1.418622646
1.529648042;1.581649151;1.63365026
0.568059905;0.596242424;0.624424943
